job_title,matched_keywords,keyword_count
International Business Development - Internship,no experience,1
Python Developer - Internship (Part Time),no experience,1
Financial Analyst - Internship (WFH & Part Time),"comfort of bed, no experience",2
AI Data Analytics - Internship (WFH),comfort of bed,1
Account Based Marketing & Market Research - Internship,no experience,1
Outreach - Internship,no experience,1
SEO - Internship,no experience,1
Python Development - Internship (WFH & Part Time),comfort of bed,1
MERN Stack Developer - Internship (Part Time),no experience,1
Digital Marketing - Internship (WFH),"comfort of bed, no experience",2
Cloud Consultant - Internship,,0
E-commerce Product Research & AI Content Creation - Female - Internship,no experience,1
Fundraising - Internship (WFH & Part Time),"comfort of bed, no experience",2
Machine Learning - Internship (WFH & Part Time),"comfort of bed, no experience",2
Machine Learning - Internship (WFH),"comfort of bed, no experience",2
Machine Learning - Internship (WFH),"comfort of bed, no experience",2
SDR - B2B Outbound (AI Data Services) - Internship,no experience,1
Digital Marketing - Internship (WFH & Part Time),"comfort of bed, no experience",2
Finance Equity Analyst - Internship (WFH & Part Time),"comfort of bed, no experience",2
Digital Marketing - Internship (WFH),comfort of bed,1
Python Developer (Serverless) - Internship (WFH),comfort of bed,1
Full Stack Developer - Internship (WFH),comfort of bed,1
B2B Marketing & Events - Internship,no experience,1
Systems Engineering - Internship,no experience,1
Finance Equity Analyst - Internship (WFH & Part Time),"make money, comfort of bed",2
Pasted Job Description,"earn daily, no experience, start immediately",3
Full Stack Developer Intern - Internship,,0
Data Analysis - Internship,,0
Content Writing - Internship,,0
AI Blog Writing - Internship (WFH),comfort of bed,1
Social Entrepreneurship - Internship (WFH & Part Time),comfort of bed,1
Machine Learning - Internship (WFH & Part Time),"comfort of bed, no experience",2
Pasted Job Description,"earn daily, no experience, start immediately",3
502 Bad Gateway,,0
Data Entry - Internship,no experience,1
Digital Marketing - Internship (WFH & Part Time),"comfort of bed, no experience",2
Developer - Full-Stack - Internship,,0
Machine Learning - Internship (WFH),"comfort of bed, no experience",2
Machine Learning - Internship (WFH & Part Time),"comfort of bed, no experience",2
HR Data Analyst - Internship,,0
MIS- Lead Handling And Data Analyst - Internship,no experience,1
Customer Success - Internship,no experience,1
Digital Marketing & Generative AI - Internship,no experience,1
Digital Marketing - Internship,no experience,1
AI Web Development - Internship (WFH),comfort of bed,1
Data Analytics - Internship,,0
Field Sales Intern - Internship,,0
Pasted Job Description,"earn daily, no experience, start immediately",3
Data Analytics - Internship,,0
AI Digital Marketing - Internship,,0
Full Stack Developer - Internship,no experience,1
Project Management - Internship,no experience,1
Pasted Job Description,,0
Full Stack Web Developer - Internship,no experience,1
Full Stack Developer - Internship,,0
Pasted Job Description,no experience,1
Social Media Marketing - Internship,no experience,1
Social Media Marketing - Internship,no experience,1
Digital Marketing - Internship,no experience,1
Full Stack Developer - Internship (WFH),"comfort of bed, no experience",2
Machine Learning - Internship (WFH & Part Time),comfort of bed,1
Machine Learning - Internship (WFH),"comfort of bed, no experience",2
Graphic Design - Internship,no experience,1
Finance Research Analyst - Internship (WFH & Part Time),"make money, comfort of bed",2
Full Stack Developer - Internship (WFH),"comfort of bed, no experience",2
Business Development (Sales) - Internship,no experience,1
Machine Learning - Internship (WFH),comfort of bed,1
Data Scientist - Internship (Part Time),no experience,1
Online Assistant / Data Posting Specialist,"transfer funds, personal account, earn daily, make money, comfort of bed, no experience, no resume, no background check, start immediately",9
Full Stack Development - Internship,no experience,1
Machine Learning - Internship (WFH & Part Time),comfort of bed,1
Machine Learning - Internship (WFH & Part Time),comfort of bed,1
Telecaller,"registration fee, processing fee, joining fee, security deposit",4
Business Development,no experience,1
Computer Operator - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Computer Operator,"telegram, no experience",2
Customer Support - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit, telegram, limited seats, no experience, no resume",8
Telecaller (Work From Home),"registration fee, processing fee, joining fee, security deposit",4
Marketing Executive (Work From Home),no resume,1
Data Entry Operator (Work From Home),no experience,1
Computer Operator (Work From Home),no interview,1
Customer Support - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Data Entry Operator - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit, telegram, limited seats",6
Office Assistant - Urgent Hiring!!!,"telegram, no experience",2
Telecaller - Urgent Hiring!!!,no resume,1
Sales Representative,no interview,1
Computer Operator - Urgent Hiring!!!,no resume,1
Telecaller - Urgent Hiring!!!,"telegram, no experience",2
Computer Operator (Work From Home),"registration fee, processing fee, joining fee, security deposit, telegram, limited seats, no experience, no resume",8
Office Assistant - Urgent Hiring!!!,,0
Customer Support,"earn daily, limited seats",2
Office Assistant - Urgent Hiring!!!,no resume,1
Marketing Executive (Work From Home),"registration fee, processing fee, joining fee, security deposit",4
Computer Operator,"earn daily, limited seats",2
Receptionist - Urgent Hiring!!!,no interview,1
Business Development - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit, no experience, dm now",6
Data Entry Operator,"registration fee, processing fee, joining fee, security deposit",4
Telecaller (Work From Home),"registration fee, processing fee, joining fee, security deposit",4
Office Assistant - Urgent Hiring!!!,no resume,1
Customer Support,,0
Telecaller - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit, limited seats, no experience, no resume",7
Business Development,"registration fee, processing fee, joining fee, security deposit",4
Telecaller,"registration fee, processing fee, joining fee, security deposit, no experience",5
Data Entry Operator - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit, telegram, limited seats",6
Computer Operator - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit, telegram, no experience, no resume",7
Office Assistant - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Telecaller - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Marketing Executive - Urgent Hiring!!!,no resume,1
Receptionist,no resume,1
Receptionist - Urgent Hiring!!!,"telegram, no experience",2
Telecaller (Work From Home),"earn daily, limited seats",2
Telecaller (Work From Home),"registration fee, processing fee, joining fee, security deposit, no experience, dm now",6
Receptionist - Urgent Hiring!!!,no resume,1
Customer Support - Urgent Hiring!!!,,0
Marketing Executive - Urgent Hiring!!!,no interview,1
Business Development - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Data Entry Operator,"registration fee, processing fee, joining fee, security deposit",4
Data Entry Operator,"registration fee, processing fee, joining fee, security deposit",4
Sales Representative,"registration fee, processing fee, joining fee, security deposit",4
Customer Support - Urgent Hiring!!!,,0
Data Entry Operator,no resume,1
Data Entry Operator - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Data Entry Operator (Work From Home),"registration fee, processing fee, joining fee, security deposit",4
Computer Operator - Urgent Hiring!!!,"telegram, no experience",2
Business Development - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit, telegram",5
Data Entry Operator (Work From Home),no interview,1
Customer Support,no resume,1
Marketing Executive (Work From Home),"registration fee, processing fee, joining fee, security deposit, telegram, limited seats",6
Receptionist,"registration fee, processing fee, joining fee, security deposit, no experience",5
Business Development - Urgent Hiring!!!,no interview,1
Telecaller (Work From Home),"registration fee, processing fee, joining fee, security deposit, no experience, dm now",6
Marketing Executive - Urgent Hiring!!!,"earn daily, limited seats",2
Marketing Executive,no experience,1
Receptionist,"registration fee, processing fee, joining fee, security deposit, no experience, no resume",6
Sales Representative,no interview,1
Computer Operator,"registration fee, processing fee, joining fee, security deposit",4
Data Entry Operator - Urgent Hiring!!!,no experience,1
Office Assistant (Work From Home),"registration fee, processing fee, joining fee, security deposit, no experience, dm now",6
Receptionist,no resume,1
Marketing Executive - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Marketing Executive - Urgent Hiring!!!,,0
Office Assistant - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Receptionist - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Business Development - Urgent Hiring!!!,no resume,1
Sales Representative - Urgent Hiring!!!,,0
Marketing Executive,"registration fee, processing fee, joining fee, security deposit, limited seats",5
Computer Operator,"registration fee, processing fee, joining fee, security deposit",4
Sales Representative,,0
Telecaller,no resume,1
Customer Support,no interview,1
Computer Operator (Work From Home),"registration fee, processing fee, joining fee, security deposit",4
Marketing Executive - Urgent Hiring!!!,,0
Receptionist - Urgent Hiring!!!,,0
Sales Representative - Urgent Hiring!!!,no resume,1
Data Entry Operator - Urgent Hiring!!!,no resume,1
Computer Operator - Urgent Hiring!!!,,0
Sales Representative - Urgent Hiring!!!,no interview,1
Marketing Executive - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Computer Operator,no experience,1
Sales Representative - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Computer Operator - Urgent Hiring!!!,no resume,1
Telecaller - Urgent Hiring!!!,no interview,1
Data Entry Operator - Urgent Hiring!!!,"registration fee, processing fee, joining fee, security deposit",4
Marketing Executive,no resume,1
Data Entry Operator - Urgent Hiring!!!,no interview,1
Data Entry Operator - Urgent Hiring!!!,no experience,1
Office Assistant,"earn daily, limited seats",2
Customer Support (Work From Home),,0
Marketing Executive,no resume,1
Office Assistant,,0
Sales Representative - Urgent Hiring!!!,no experience,1
Sales Representative (Work From Home),no interview,1
SRE,no experience,1
DevOps Engineer,"no interview, no experience",2
Machine Learning Engineer (Internship),no experience,1
Machine Learning Engineer (Hybrid),no experience,1
SRE,no experience,1
Mobile Developer,no experience,1
DevOps Engineer,"no interview, no experience",2
Data Scientist,no experience,1
Engineering Manager - Razorpay,"no interview, no experience",2
DevOps Engineer,"no interview, no experience",2
Data Engineer - Infosys,no experience,1
QA Engineer (Hybrid),"no interview, no experience",2
Data Scientist,no experience,1
Senior Software Engineer (Hybrid),no experience,1
QA Engineer (Remote),no experience,1
Software Engineer (Remote),no experience,1
Data Scientist,no experience,1
Product Manager (Hybrid),"no interview, no experience",2
DevOps Engineer (Hybrid),"no interview, no experience",2
Backend Developer (Internship),no experience,1
Data Engineer,"no interview, no experience",2
Backend Developer,no experience,1
Data Engineer,"no interview, no experience",2
Product Manager,no experience,1
Frontend Developer,no experience,1
QA Engineer (Hybrid),no experience,1
Software Engineer (Remote),"no interview, no experience",2
Cloud Engineer - Amazon Development Center,no experience,1
Frontend Developer,no experience,1
Data Scientist,no experience,1
Frontend Developer - Google India,"no interview, no experience",2
Machine Learning Engineer,no experience,1
Cloud Engineer - Freshworks,"no interview, no experience",2
Machine Learning Engineer (Full-time),no experience,1
Data Engineer - Swiggy,no experience,1
Engineering Manager,no experience,1
Cloud Engineer,no experience,1
Software Engineer (Hybrid),"no interview, no experience",2
Cloud Engineer - Swiggy,no experience,1
Full Stack Developer,no experience,1
Data Scientist (Hybrid),no experience,1
DevOps Engineer - Microsoft India,"no interview, no experience",2
Mobile Developer - Amazon Development Center,"no interview, no experience",2
Full Stack Developer - Amazon Development Center,"no interview, no experience",2
Senior Software Engineer,"no interview, no experience",2
Full Stack Developer - PhonePe,no experience,1
Full Stack Developer (Internship),"no interview, no experience",2
Full Stack Developer,no experience,1
Full Stack Developer (Hybrid),"no interview, no experience",2
SRE,no experience,1
Data Scientist,"no interview, no experience",2
Engineering Manager - Razorpay,no experience,1
Data Engineer (Internship),no experience,1
SRE - Wipro,"no interview, no experience",2
SRE (Hybrid),no experience,1
Mobile Developer,no experience,1
Data Engineer (Full-time),"no interview, no experience",2
QA Engineer - Freshworks,"no interview, no experience",2
Machine Learning Engineer,"no interview, no experience",2
Data Engineer (Internship),"urgent hiring, no experience",2
SRE - Wipro,"no interview, no experience",2
Machine Learning Engineer - Infosys,"no interview, no experience",2
Full Stack Developer - Infosys,"no interview, no experience",2
Product Manager - Razorpay,no experience,1
Engineering Manager - Razorpay,no experience,1
Data Engineer (Remote),no experience,1
Software Engineer (Hybrid),no experience,1
Data Engineer - Swiggy,no experience,1
Data Engineer,"no interview, no experience",2
Backend Developer - Tata Consultancy Services,no experience,1
Product Manager (Full-time),no experience,1
Backend Developer (Internship),no experience,1
QA Engineer - Wipro,no experience,1
DevOps Engineer (Internship),no experience,1
Frontend Developer (Internship),"no interview, no experience",2
Full Stack Developer - Zomato,"no interview, no experience",2
Senior Software Engineer,no experience,1
Mobile Developer - Swiggy,"no interview, no experience",2
Cloud Engineer,no experience,1
Software Engineer (Remote),"urgent hiring, no interview, no experience",3
Machine Learning Engineer,"no interview, no experience",2
Full Stack Developer,"no interview, no experience",2
Data Scientist (Internship),"no interview, no experience",2
Full Stack Developer,"no interview, no experience",2
SRE - Microsoft India,"no interview, no experience",2
Data Engineer (Hybrid),no experience,1
Data Scientist - Razorpay,"no interview, no experience",2
Mobile Developer - Wipro,no experience,1
QA Engineer,"no interview, no experience",2
Senior Software Engineer (Hybrid),"no interview, no experience",2
Cloud Engineer,"no interview, no experience",2
QA Engineer - Freshworks,no experience,1
DevOps Engineer,no experience,1
Senior Software Engineer (Hybrid),no experience,1
Data Engineer (Full-time),no experience,1
Engineering Manager,no experience,1
DevOps Engineer (Remote),"no interview, no experience",2
Frontend Developer - Razorpay,"no interview, no experience",2
Data Scientist,"no interview, no experience",2
Senior Software Engineer - PhonePe,"no interview, no experience",2
Data Scientist - Swiggy,"no interview, no experience",2
Full Stack Developer,no experience,1
Full Stack Developer,"no interview, no experience",2
DevOps Engineer,no experience,1
SRE - Infosys,"no interview, no experience",2
SRE (Hybrid),no experience,1
Engineering Manager (Hybrid),no experience,1
Cloud Engineer (Hybrid),"no interview, no experience",2
SRE (Hybrid),"no interview, no experience",2
Software Engineer (Hybrid),"no interview, no experience",2
Machine Learning Engineer - Wipro,no experience,1
Software Engineer - Tata Consultancy Services,no experience,1
Data Scientist - Microsoft India,no experience,1
Senior Software Engineer - Razorpay,no experience,1
Full Stack Developer,"no interview, no experience",2
Mobile Developer,"no interview, no experience",2
Data Scientist - Swiggy,"no interview, no experience",2
Frontend Developer (Full-time),"no interview, no experience",2
Frontend Developer,no experience,1
Engineering Manager - Tata Consultancy Services,no experience,1
SRE (Full-time),no experience,1
Product Manager - Tata Consultancy Services,no experience,1
Engineering Manager,no experience,1
Full Stack Developer - Swiggy,"no interview, no experience",2
Product Manager,"no interview, no experience",2
Backend Developer - PhonePe,no experience,1
Software Engineer (Remote),no experience,1
Backend Developer,no experience,1
Product Manager (Full-time),"no interview, no experience",2
Engineering Manager - Infosys,no experience,1
Backend Developer,no experience,1
DevOps Engineer,"no interview, no experience",2
Full Stack Developer (Hybrid),"no interview, no experience",2
Full Stack Developer (Hybrid),"no interview, no experience",2
Full Stack Developer - Razorpay,no experience,1
Mobile Developer,no experience,1
Senior Software Engineer - Tata Consultancy Services,no experience,1
Cloud Engineer (Full-time),no experience,1
QA Engineer - Swiggy,no experience,1
SRE - PhonePe,"urgent hiring, no experience",2
Cloud Engineer (Hybrid),"no interview, no experience",2
SRE - Amazon Development Center,no experience,1
QA Engineer - Microsoft India,no experience,1
Cloud Engineer - PhonePe,"limited seats, no experience",2
Machine Learning Engineer,"no interview, no experience",2
Backend Developer,no experience,1
Product Manager,"no interview, no experience",2
DevOps Engineer - Wipro,"urgent hiring, no experience",2
Engineering Manager (Remote),"no interview, no experience",2
Product Manager - Microsoft India,"no interview, no experience",2
Data Scientist (Internship),"no interview, no experience",2
DevOps Engineer (Remote),no experience,1
Data Engineer,"no interview, no experience",2
SRE (Hybrid),"no interview, no experience",2
QA Engineer - PhonePe,no experience,1
Product Manager (Full-time),"urgent hiring, no interview, no experience",3
Data Scientist,no experience,1
Engineering Manager - Infosys,no experience,1
Backend Developer,"no interview, no experience",2
QA Engineer,no experience,1
DevOps Engineer,"no interview, no experience",2
Mobile Developer,no experience,1
Data Scientist (Hybrid),"no interview, no experience",2
Backend Developer - Swiggy,"no interview, no experience",2
Full Stack Developer - Infosys,no experience,1
QA Engineer,"no interview, no experience",2
Frontend Developer (Remote),no experience,1
Machine Learning Engineer (Internship),"urgent hiring, no interview, no experience",3
SRE - Microsoft India,no experience,1
Full Stack Developer,no experience,1
Mobile Developer,no experience,1
Mobile Developer - Google India,"no interview, no experience",2
DevOps Engineer - Amazon Development Center,no experience,1
DevOps Engineer - PhonePe,"no interview, no experience",2
Data Engineer,"no interview, no experience",2
Frontend Developer,no experience,1
Software Engineer,no experience,1
Data Engineer (Internship),"no interview, no experience",2
Mobile Developer - Microsoft India,"no interview, no experience",2
Cloud Engineer,no experience,1
Senior Software Engineer,"no interview, no experience",2
Software Engineer - Razorpay,no experience,1
Product Manager - Zomato,"urgent hiring, no experience",2
Data Engineer (Full-time),"no interview, no experience",2
Backend Developer (Internship),"no interview, no experience",2
Frontend Developer,no experience,1
Mobile Developer,"no interview, no experience",2
SRE,"no interview, no experience",2
Full Stack Developer,"urgent hiring, no interview, no experience",3
Software Engineer,"no interview, no experience",2
Software Engineer - Zomato,no experience,1
DevOps Engineer - Infosys,"no interview, no experience",2
Cloud Engineer (Full-time),no experience,1
Software Engineer - Amazon Development Center,"no interview, no experience",2
Backend Developer,"no interview, no experience",2
Mobile Developer,"no interview, no experience",2
QA Engineer - Razorpay,"no interview, no experience",2
Full Stack Developer,"no interview, no experience",2
Mobile Developer,"no interview, no experience",2
Machine Learning Engineer - Flipkart Internet Pvt Ltd,no experience,1
